Address,Allowlist mints
0x000000697bb288f2528042e8844b65cd32beafca,2
0x000a837ddd815bcba0fa91a98a50aa7a3fa62c9c,1
0x001aba7087f49a135ffb121a40684416824e9c34,1
0x0030b9f1925408d79be83c7cecfffdbacb638e9b,3
0x003732c40e3b62a6508b3af68b8dadf84234427c,3
0x003bc0cda3dfe152991174f30d22290a25fef407,1
0x004ae75e6e1065303eea5107cd2be284595d6bf9,1
0x004f927fb2b36a96793263d830cc0cb69ab48e4c,1
0x0051742f728624c71a003d3a8c229bdc62d1812f,1
0x005fd30b00f66d0d016e3512d03464a1d237c154,10
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,3
0x0075acbd9c45a7b6f42c34d3e36bbf225f7bbb98,1
0x00796e910bd0228ddf4cd79e3f353871a61c351c,1
0x0095ba16471786229ee0f4ed90672071c5daaa29,1
0x00bd53913a82f36e5796ed7d30f1b2a15cd31c20,1
0x00ce3a24da381d9dfa6fd27b8b4218b3068cbd3f,1
0x00da5f7a46e388030ecfc58fd51bd2ce918e3934,1
0x00e33E38a9c933E0444319264b3dE805E8e03c85,15
0x00f2c26ec519d56f17e7e40241e84d541b7c6913,2
0x00fd003a6b0d65870fb1652ff96fa6bbccd22ad8,1
0x00ff192363430a35abbf968c535b64147e88abdb,2
0x00ff72c361f6181f32e702b0473818f683978998,1
0x00ffc9f986eaec82cafdc2ae5350c48b51a3acdf,1
0x00ffef3eda48057e3e1f585d7b33f19224db90f2,1
0x01056fe059e9f75881214f8a210a8607ecd7769d,2
0x010d17c4a240df3b9232060e073f12d5f2550415,1
0x0127bb047db0e044fc4fb487310f6b4698928b10,1
0x012eb5dd3b5a9667e3fd3377c1ef24bb5618bc9d,1
0x013ded7dda73907feed4fc5ac81a97b05cb6b68a,1
0x0140df1b58e63014f768b040fd0cf11a36da9828,1
0x0162f0b0deaf7147d5603d83c2c149737a6e80df,1
0x0173f04d46027eeb4ea00b734292d0f54a965122,1
0x017c4dc18a2d67e82a49c4359016e50fd8e63233,2
0x017cc601af0f8e74bca86342a2848d70caf63e07,1
0x0199f4bef64212be9d5847557631ccea02ae8d26,1
0x019d114cd6814017003d94dc9f4f0e7ffc58d152,1
0x01a45f7fbf7453092e49b6db137568f9cfab8ead,1
0x01aa68f8a8f0534fff9f1b0de0ac6b1c9e158dc7,2
0x01c3dd0607e189d8ec94c740cf5926db4f38bf3f,1
0x01d07a8560b024eaa73b0e0bc63d5350c48cb138,2
0x01d71a1e369cd675a1215b9f1bd63b582f6f257a,1
0x01db485f57dc000e761b85641f78c9d212a2eeab,2
0x01e90e074c85e239a37a3a41b882a3f9c3f15b26,2
0x01ea2371c56b1b3a304f48b82954a406094be201,4
0x01eaa7b40b642f72bf31abccc625775c0f92a6b5,1
0x01fad37bdfe38768ba62b8b8f0c1a4f422d56ce3,3
0x01fd458c51fa0d7eaffaf32d447b90503883d165,2
0x021d8c05947163b02a9d6ad6370411302087effd,1
0x022fe29659d344b5c3483b72aafffb025ae9e13e,1
0x02385273f31812b3da46479aa9a710324830b648,1
0x025fdd585f03ce846740fe5542469f1de425e439,1
0x02644a61d754b28b67e529d62a3ff6a48889c0b6,2
0x026cfb68f96fa19e5214edbba4312d5f5ff4587d,1
0x026d1aaea25b4f17e4b05f0e0df96b8934092232,1
0x02776314ae4fc207a08d1c95d7337a5f9bed9e7c,1
0x02803ab02d4bd486e160a1be97d0db44450f0c6f,1
